t,i
18.543,158.39
18.554,158.29
18.564,158.35
18.575,157.55
18.586,157.54
18.596,157.19
18.607,157.59
18.617,157.34
18.628,157.26
18.638,156.84
18.649,157.31
18.66,157.4
18.67,157.38
18.681,156.66
18.691,156.79
18.702,157.18
18.712,156.23
18.723,156.4
18.734,156.48
18.744,157.13
18.755,156.48
18.765,156.84
18.776,156.81
18.787,156.58
18.797,155.93
18.808,156.6
18.818,156.74
18.829,156.44
18.839,156.46
18.85,156.49
18.861,157
18.871,156.11
18.882,156.5
18.892,156.15
18.903,156.63
18.913,157.06
18.924,156.53
18.935,156.01
18.945,156.74
18.956,156.46
18.966,156.62
18.977,156.08
18.988,155.88
18.998,155.99
19.009,155.98
19.019,156.14
19.03,155.46
19.04,155.9
19.051,155.89
19.062,156.04
19.072,156.27
19.083,156.12
19.093,155.64
19.104,156.05
19.114,156.13
19.125,156.28
19.136,155.35
19.146,155.62
19.157,155.69
19.167,156.18
19.178,155.85
19.188,154.76
19.199,155.4
19.21,155.18
19.22,154.97
19.231,155.46
19.241,155.23
19.252,155.17
19.263,154.85
19.273,154.96
19.284,155.21
19.294,155.07
19.305,158.65
19.315,159.77
19.326,160.83
19.337,160.46
19.347,160.84
19.358,160.84
19.368,160.4
19.379,160.28
19.389,159.82
19.4,160.04
19.411,159.41
19.421,159.46
19.432,159.38
19.442,159.15
19.453,158.37
19.464,158.45
19.474,158.45
19.485,158.66
19.495,157.95
19.506,158.04
19.516,157.41
19.527,157.49
19.538,157.94
19.548,157.53
19.559,157.48
19.569,157.2
19.58,156.61
19.59,156.81
19.601,156.49
19.612,156.14
19.622,156.89
19.633,157.26
19.643,156.94
19.654,157.16
19.665,156.95
19.675,156.75
19.686,156.1
19.696,156.44
19.707,156.6
19.717,156.22
19.728,156.41
19.739,156.07
19.749,156.31
19.76,156.08
19.77,156.81
19.781,156.33
19.791,156.87
19.802,155.96
19.813,155.66
19.823,155.6
19.834,156.27
19.844,155.69
19.855,155.51
19.865,155.78
19.876,156.48
19.887,155.72
19.897,156.07
19.908,156.02
19.918,156.35
19.929,155.9
19.94,155.92
19.95,155.69
19.961,155.85
19.971,155.27
19.982,155.14
19.992,155.26
20.003,155.24
20.014,155.63
20.024,155.03
20.035,155.53
20.045,155.41
20.056,155.6
20.066,155.27
20.077,155.6
20.088,155.48
20.098,156
20.109,155.64
20.119,155.35
20.13,154.88
20.141,154.62
20.151,155
20.162,155.01
20.172,155
20.183,155.03
20.193,154.64
20.204,154.73
20.215,155.16
20.225,155.05
20.236,154.75
20.246,155.49
20.257,158.45
20.267,160.35
20.278,160.77
20.289,160.9
20.299,160.65
20.31,161.45
20.32,160.8
20.331,160.63
20.341,160.66
20.352,160.31
20.363,159.42
20.373,159.42
20.384,159.13
20.394,159.28
20.405,157.99
20.416,158.68
20.426,158.36
20.437,157.72
20.447,157.67
20.458,158.03
20.468,157.16
20.479,157.52
20.49,157.03
20.5,156.53
20.511,156.84
20.521,156.88
20.532,156.93
20.542,156.93
20.553,156.96
20.564,156.25
20.574,156.11
20.585,156.28
20.595,156.63
20.606,156.35
20.617,156.36
20.627,157.01
20.638,156.2
20.648,155.88
20.659,155.89
20.669,155.92
20.68,155.88
20.691,155.81
20.701,155.55
20.712,155.87
20.722,155.9
20.733,155.56
20.743,155.77
20.754,156.23
20.765,156.6
20.775,156.6
20.786,156.38
20.796,155.78
20.807,155.74
20.818,155.9
20.828,155.65
20.839,155.34
20.849,154.99
20.86,155.27
20.87,155.23
20.881,154.67
20.892,154.98
20.902,155.11
20.913,155.12
20.923,155.03
20.934,155.06
20.944,154.61
20.955,155.04
20.966,155.19
20.976,154.84
20.987,155.07
20.997,154.89
21.008,154.88
21.018,155.06
21.029,154.77
21.04,154.94
21.05,154.56
21.061,154.27
21.071,154.07
21.082,154.96
21.093,155
21.103,155.24
21.114,154.41
21.124,155.1
21.135,154.88
21.145,154.84
21.156,155.17
21.167,154.36
21.177,155
21.188,154.77
21.198,155.68
21.209,158.29
21.219,160.19
21.23,160.46
21.241,160.69
21.251,160.72
21.262,160.7
21.272,160.5
21.283,160.11
21.294,159.57
21.304,159.45
21.315,159.32
21.325,159.46
21.336,158.82
21.346,158.96
21.357,158.4
21.368,157.84
21.378,158.18
21.389,157.63
21.399,157.22
21.41,157.32
21.42,157.54
21.431,157.69
21.442,157.59
21.452,157.43
21.463,157.14
21.473,156.39
21.484,156.9
21.494,156.38
21.505,156.73
21.516,156.81
21.526,156.56
21.537,156.74
21.547,156.72
21.558,156.92
21.569,156.29
21.579,156.65
21.59,156.39
21.6,156.62
21.611,156.26
21.621,156
21.632,156.86
21.643,156.46
21.653,156.55
21.664,156.64
21.674,156.2
21.685,156.6
21.695,156.49
21.706,155.89
21.717,156.57
21.727,155.68
21.738,155.92
21.748,156.04
21.759,156.07
21.77,155.62
21.78,155.58
21.791,155.69
21.801,155.76
21.812,155.8
21.822,156
21.833,155.53
21.844,155.42
21.854,155.82
21.865,155.81
21.875,155.49
21.886,155.73
21.896,156.01
21.907,156.04
21.918,156
21.928,155.93
21.939,156.04
21.949,155.11
21.96,155.49
21.971,155.98
21.981,155.82
21.992,155.63
22.002,155.34
22.013,155.66
22.023,155.85
22.034,155.55
22.045,155.59
22.055,155.77
22.066,155.59
22.076,155.11
22.087,155.52
22.097,155.4
22.108,155.14
22.119,155.03
22.129,154.78
22.14,154.95
22.15,155.46
22.161,158.13
22.171,160.51
22.182,160.73
22.193,161.09
22.203,162.09
22.214,161.19
22.224,160.76
22.235,160.39
22.246,160.13
22.256,160.39
22.267,160.16
22.277,159.42
22.288,159.41
22.298,158.53
22.309,158.12
22.32,158.51
22.33,158.71
22.341,157.89
22.351,157.74
22.362,157.33
22.372,157.38
22.383,156.91
22.394,157.23
22.404,157.35
22.415,157.11
22.425,156.69
22.436,157.02
22.447,156.41
22.457,156.68
22.468,156.58
22.478,156.53
22.489,156.64
22.499,156.7
22.51,156.72
22.521,156.51
22.531,156.57
22.542,156.17
22.552,155.67
22.563,155.61
22.573,155.92
22.584,155.21
22.595,155.68
22.605,155.82
22.616,155.63
22.626,155.69
22.637,155.52
22.647,155.44
22.658,155.36
22.669,155.62
22.679,155.29
22.69,155.37
22.7,155.5
22.711,155.36
22.722,155.82
22.732,155.36
22.743,155.55
22.753,155.52
22.764,156.09
22.774,155.92
22.785,156
22.796,156.11
22.806,156.46
22.817,156.37
22.827,155.89
22.838,156.36
22.848,156.2
22.859,156.15
22.87,155.53
22.88,155.35
22.891,155.45
22.901,156.08
22.912,155.53
22.923,155.9
22.933,155.63
22.944,155.57
22.954,155.96
22.965,156.13
22.975,155.86
22.986,155.86
22.997,156.62
23.007,156.1
23.018,156.01
23.028,156.53
23.039,156.28
23.049,155.83
23.06,155.65
23.071,155.91
23.081,156.01
23.092,156.23
23.102,157.02
23.113,159.51
23.124,161.12
23.134,161.94
23.145,162.64
23.155,162.82
23.166,162.26
23.176,162.36
23.187,161.54
23.198,161.89
23.208,161.16
23.219,161.15
23.229,161.16
23.24,160.38
23.25,160.75
23.261,160.73
23.272,159.94
23.282,159.76
23.293,159.53
23.303,159.33
23.314,158.88
23.324,159.21
23.335,159.37
23.346,159.17
23.356,159.95
23.367,158.79
23.377,159.46
23.388,158.83
23.399,159.26
23.409,158.51
23.42,158.31
23.43,157.48
23.441,157.98
23.451,157.79
23.462,157.88
23.473,158.06
23.483,157.47
23.494,158.02
23.504,157.67
23.515,157.97
23.525,157.02
23.536,157.59
23.547,157.46
23.557,157.05
23.568,157.26
23.578,156.89
23.589,156.98
23.6,156.77
23.61,156.47
23.621,156.89
23.631,156.4
23.642,156.96
23.652,157.26
23.663,156.89
23.674,156.85
23.684,156.56
23.695,157.05
23.705,157.1
23.716,156.35
23.726,156.51
23.737,156.31
23.748,156.76
23.758,156.7
23.769,156.7
23.779,156.12
23.79,156.23
23.8,155.97
23.811,155.93
23.822,156.15
23.832,155.88
23.843,155.48
23.853,155.83
23.864,155.89
23.875,155.83
23.885,155.65
23.896,155.99
23.906,156.43
23.917,155.78
23.927,155.74
23.938,156.34
23.949,156.16
23.959,156.39
23.97,156.13
23.98,156.32
23.991,156.73
24.001,156.5
24.012,156.73
24.023,156.72
24.033,156.44
24.044,156.31
24.054,156.52
24.065,159.5
24.076,160.65
24.086,161.62
24.097,162.63
24.107,162.23
24.118,161.98
24.128,162.13
24.139,161.71
24.15,161.64
24.16,161.18
24.171,160.97
24.181,159.95
24.192,160.13
24.202,159.35
24.213,159.36
24.224,159.28
24.234,160.09
24.245,159.78
24.255,159.31
24.266,158.89
24.277,158.78
24.287,158.01
24.298,158.76
24.308,158.75
24.319,158.46
24.329,158.04
24.34,157.94
24.351,157.73
24.361,157.43
24.372,156.84
24.382,157.29
24.393,157.51
24.403,157.71
24.414,157.25
24.425,157.36
24.435,157.57
24.446,157.33
24.456,157.38
24.467,156.78
24.477,157.19
24.488,157.04
24.499,156.37
24.509,157.23
24.52,156.37
24.53,156.68
24.541,155.81
24.552,156.36
24.562,156.27
24.573,156.27
24.583,156.62
24.594,156.02
24.604,155.92
24.615,155.72
24.626,156.05
24.636,155.47
24.647,155.4
24.657,155.97
24.668,155.99
24.678,156.16
24.689,155.87
24.7,155.98
24.71,155.95
24.721,156.11
24.731,156.28
24.742,155.89
24.753,155.61
24.763,155.95
24.774,156.22
24.784,155.82
24.795,155.48
24.805,155.66
24.816,155.57
24.827,156.17
24.837,155.56
24.848,155.46
24.858,155.69
24.869,155.51
24.879,155.52
24.89,156
24.901,155.42
24.911,155.69
24.922,155.54
24.932,155.78
24.943,154.79
24.954,155.12
24.964,155.37
24.975,155.24
24.985,155.26
24.996,155.23
25.006,156.04
25.017,159.31
25.028,161.29
25.038,161.65
25.049,162.43
25.059,162.11
25.07,162.2
25.08,162.33
25.091,161.35
25.102,160.67
25.112,160.75
25.123,160.43
25.133,159.6
25.144,160.19
25.154,159.79
25.165,159.73
25.176,159.32
25.186,159.7
25.197,159.99
25.207,158.88
25.218,159.29
25.229,158.1
25.239,158.02
25.25,158.15
25.26,158.91
25.271,158.01
25.281,157.83
25.292,157.87
25.303,157.65
25.313,157.35
25.324,156.99
25.334,157.75
25.345,156.92
25.355,157.79
25.366,157.76
25.377,157.64
25.387,157.31
25.398,157.59
25.408,157.53
25.419,157.56
25.43,157.19
25.44,157.25
25.451,158.13
25.461,157.62
25.472,157.47
25.482,157.29
25.493,157.41
25.504,157.08
25.514,156.98
25.525,157.05
25.535,157.19
25.546,157.27
25.556,157.26
25.567,157.36
25.578,157.04
25.588,156.75
25.599,156.8
25.609,156.51
25.62,156.5
25.63,157.1
25.641,157.18
25.652,157.23
25.662,156.68
25.673,157.14
25.683,157.15
25.694,157.04
25.705,156.92
25.715,156.96
25.726,157.01
25.736,156.93
25.747,157.43
25.757,157.32
25.768,157.44
25.779,157.23
25.789,157.66
25.8,157
